id_encuestador,latitud,longitud,municipio,municipio_texto,P19_1_texto,P19_2_texto,seccion_electoral,Creation Date,Modified Date
150,18.3618046,-99.5490951,3,Iguala,,,1483,"Dec 4, 2025 12:54 pm","Dec 4, 2025 12:59 pm"
150,18.3407621,-99.5375755,3,Iguala,Ninguno (NO LEER),,1527,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:22 pm"
150,,,3,Iguala,,,1538,"Dec 4, 2025 12:54 pm","Dec 4, 2025 12:54 pm"
150,18.3389262,-99.5445537,3,Iguala,No respondió (NO LEER),,1531,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:06 pm"
140,18.3322203,-99.5645663,3,Iguala,,,2830,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:05 pm"
149,19.532852,-96.9234966,3,Iguala,Javier Saldaña Almazán,Ninguno (NO LEER),1523,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:08 pm"
150,,,3,Iguala,Iván Hernández Díaz,No sabe (NO LEER),1509,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:17 pm"
150,,,3,Iguala,,,1538,"Dec 4, 2025 12:54 pm","Dec 4, 2025 12:54 pm"
150,18.3448477,-99.5397344,3,Iguala,Ninguno (NO LEER),,2830,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:09 pm"
150,,,3,Iguala,,,1562,"Dec 4, 2025 12:54 pm","Dec 4, 2025 12:56 pm"
152,,,3,Iguala,Iván Hernández Díaz,Ninguno (NO LEER),1458,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:09 pm"
142,,,3,Iguala,,,1488,"Dec 4, 2025 12:54 pm","Dec 4, 2025 12:57 pm"
150,18.3606483,-99.5154638,3,Iguala,Iván Hernández Díaz,No respondió (NO LEER),1499,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:10 pm"
149,20.2450994,-99.0905389,3,Iguala,Iván Hernández Díaz,Jacinto González Varona,1481,"Dec 4, 2025 12:55 pm","Dec 4, 2025 1:19 pm"
150,18.3641622,-99.5204202,3,Iguala,Iván Hernández Díaz,Jacinto González Varona,1495,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:10 pm"
150,18.3669937,-99.5225053,3,Iguala,No sabe (NO LEER),,1494,"Dec 4, 2025 12:55 pm","Dec 4, 2025 1:10 pm"
150,,,3,Iguala,,,1495,"Dec 4, 2025 12:55 pm","Dec 4, 2025 12:55 pm"
