seccion_electoral,municipio,municipio_texto,id_encuestador,latitud,longitud,fecha_hora,Modified Date,tiene_gps
1521,3,Iguala,3411,18.3335455,-99.5235479,2025-12-05 10:45:00,"Dec 5, 2025 11:07 am",True
247,1,Acapulco,10101,29.69085722,-97.69863365,2025-12-05 10:45:00,"Dec 5, 2025 11:09 am",True
1521,3,Iguala,347,18.3335455,-99.5235479,2025-12-05 10:45:00,"Dec 5, 2025 11:09 am",True
181,1,Acapulco,10405,,,2025-12-05 10:46:00,"Dec 5, 2025 10:46 am",False
1265,2,Chilpancingo,248,17.5498759,-99.4868793,2025-12-05 10:46:00,"Dec 5, 2025 11:00 am",True
1521,3,Iguala,349,18.3335455,-99.5235479,2025-12-05 10:46:00,"Dec 5, 2025 11:01 am",True
1522,3,Iguala,341,18.3270669,-99.5228716,2025-12-05 10:46:00,"Dec 5, 2025 10:52 am",True
118,1,Acapulco,10403,,,2025-12-05 10:47:00,"Dec 5, 2025 10:47 am",False
1492,3,Iguala,316,,,2025-12-05 10:47:00,"Dec 5, 2025 11:01 am",False
181,1,Acapulco,10405,,,2025-12-05 10:48:00,"Dec 5, 2025 10:48 am",False
118,1,Acapulco,10403,,,2025-12-05 10:48:00,"Dec 5, 2025 11:43 am",False
1521,3,Iguala,3410,18.3335455,-99.5235479,2025-12-05 10:46:00,"Dec 5, 2025 11:15 am",True
1270,2,Chilpancingo,3211,17.5385732,-99.4794354,2025-12-05 10:48:00,"Dec 5, 2025 11:01 am",True
1527,3,Iguala,203,,,2025-12-05 10:48:00,"Dec 5, 2025 10:49 am",False
1527,3,Iguala,321,,,2025-12-05 10:48:00,"Dec 5, 2025 10:49 am",False
208,1,Acapulco,101717,,,2025-12-05 10:48:00,"Dec 5, 2025 10:48 am",False
1527,3,Iguala,326,,,2025-12-05 10:48:00,"Dec 5, 2025 10:50 am",False
278,1,Acapulco,10117,,,2025-12-05 10:49:00,"Dec 5, 2025 11:09 am",False
1522,3,Iguala,343,,,2025-12-05 10:49:00,"Dec 5, 2025 11:17 am",False
1271,2,Chilpancingo,239,,,2025-12-05 10:50:00,"Dec 5, 2025 11:23 am",False
1259,2,Chilpancingo,225,,,2025-12-05 10:50:00,"Dec 5, 2025 10:50 am",False
1499,3,Iguala,312,,,2025-12-05 10:50:00,"Dec 5, 2025 10:51 am",False
1527,3,Iguala,203,,,2025-12-05 10:51:00,"Dec 5, 2025 10:51 am",False
208,1,Acapulco,101717,16.8105062,-99.8164983,2025-12-05 10:51:00,"Dec 5, 2025 11:09 am",True
